Person,Actual,Predicted,Count
Edson Olf,Surprise,Fear,0
Edson Olf,Angry,Happy,0
Edson Olf,Disgust,Happy,0
Edson Olf,Fear,Happy,0
Edson Olf,Happy,Happy,0
Edson Olf,Neutral,Happy,0
Edson Olf,NeutralNeutral,Happy,0
Edson Olf,Sad,Happy,0
Edson Olf,Surprise,Happy,0
Edson Olf,Angry,Neutral,0
Edson Olf,Disgust,Neutral,0
Edson Olf,Fear,Neutral,0
Edson Olf,Happy,Neutral,0
Edson Olf,Neutral,Neutral,0
Edson Olf,NeutralNeutral,Neutral,0
Edson Olf,Sad,Neutral,0
Edson Olf,Surprise,Neutral,0
Edson Olf,Angry,NeutralNeutral,0
Edson Olf,Disgust,NeutralNeutral,0
Edson Olf,Fear,NeutralNeutral,0
Edson Olf,Happy,NeutralNeutral,0
Edson Olf,Neutral,NeutralNeutral,0
Edson Olf,NeutralNeutral,NeutralNeutral,0
Edson Olf,Sad,NeutralNeutral,0
Edson Olf,Surprise,NeutralNeutral,0
Edson Olf,Angry,Sad,0
Edson Olf,Disgust,Sad,0
Edson Olf,Fear,Sad,0
Edson Olf,Happy,Sad,0
Edson Olf,Neutral,Sad,0
Edson Olf,NeutralNeutral,Sad,0
Edson Olf,Sad,Sad,0
Edson Olf,Surprise,Sad,0
Edson Olf,Angry,Surprise,0
Edson Olf,Disgust,Surprise,0
Edson Olf,Fear,Surprise,0
Edson Olf,Happy,Surprise,0
Edson Olf,Neutral,Surprise,0
Edson Olf,NeutralNeutral,Surprise,0
Edson Olf,Sad,Surprise,0
Edson Olf,Surprise,Surprise,0
Esther Ouwehand,Angry,Angry,0
Esther Ouwehand,Disgust,Angry,0
Esther Ouwehand,Fear,Angry,0
Esther Ouwehand,Happy,Angry,0
Esther Ouwehand,Neutral,Angry,0
Esther Ouwehand,NeutralNeutral,Angry,0
Esther Ouwehand,Sad,Angry,0
Esther Ouwehand,Surprise,Angry,0
Esther Ouwehand,Angry,Disgust,0
Esther Ouwehand,Disgust,Disgust,0
Esther Ouwehand,Fear,Disgust,0
Esther Ouwehand,Happy,Disgust,0
Esther Ouwehand,Neutral,Disgust,0
Esther Ouwehand,NeutralNeutral,Disgust,0
Esther Ouwehand,Sad,Disgust,0
Esther Ouwehand,Surprise,Disgust,0
Esther Ouwehand,Angry,Fear,0
Esther Ouwehand,Disgust,Fear,0
Esther Ouwehand,Fear,Fear,0
Esther Ouwehand,Happy,Fear,0
Esther Ouwehand,Neutral,Fear,0
Esther Ouwehand,NeutralNeutral,Fear,0
Esther Ouwehand,Sad,Fear,0
Esther Ouwehand,Surprise,Fear,0
Esther Ouwehand,Angry,Happy,0
Esther Ouwehand,Disgust,Happy,0
Esther Ouwehand,Fear,Happy,0
Esther Ouwehand,Happy,Happy,0
Esther Ouwehand,Neutral,Happy,0
Esther Ouwehand,NeutralNeutral,Happy,0
Esther Ouwehand,Sad,Happy,0
Esther Ouwehand,Surprise,Happy,0
Esther Ouwehand,Angry,Neutral,0
Esther Ouwehand,Disgust,Neutral,0
Esther Ouwehand,Fear,Neutral,0
Esther Ouwehand,Happy,Neutral,0
Esther Ouwehand,Neutral,Neutral,0
Esther Ouwehand,NeutralNeutral,Neutral,0
Esther Ouwehand,Sad,Neutral,0
Esther Ouwehand,Surprise,Neutral,0
Esther Ouwehand,Angry,NeutralNeutral,0
Esther Ouwehand,Disgust,NeutralNeutral,0
Esther Ouwehand,Fear,NeutralNeutral,0
Esther Ouwehand,Happy,NeutralNeutral,0
Esther Ouwehand,Neutral,NeutralNeutral,0
Esther Ouwehand,NeutralNeutral,NeutralNeutral,0
Esther Ouwehand,Sad,NeutralNeutral,0
Esther Ouwehand,Surprise,NeutralNeutral,0
Esther Ouwehand,Angry,Sad,0
Esther Ouwehand,Disgust,Sad,0
Esther Ouwehand,Fear,Sad,0
Esther Ouwehand,Happy,Sad,0
Esther Ouwehand,Neutral,Sad,0
Esther Ouwehand,NeutralNeutral,Sad,0
Esther Ouwehand,Sad,Sad,0
Esther Ouwehand,Surprise,Sad,0
Esther Ouwehand,Angry,Surprise,0
Esther Ouwehand,Disgust,Surprise,0
Esther Ouwehand,Fear,Surprise,0
Esther Ouwehand,Happy,Surprise,0
Esther Ouwehand,Neutral,Surprise,0
Esther Ouwehand,NeutralNeutral,Surprise,0
Esther Ouwehand,Sad,Surprise,0
Esther Ouwehand,Surprise,Surprise,0
Frans Timmermans,Angry,Angry,0
Frans Timmermans,Disgust,Angry,0
Frans Timmermans,Fear,Angry,0
Frans Timmermans,Happy,Angry,0
Frans Timmermans,Neutral,Angry,0
Frans Timmermans,NeutralNeutral,Angry,0
Frans Timmermans,Sad,Angry,0
Frans Timmermans,Surprise,Angry,0
Frans Timmermans,Angry,Disgust,0
Frans Timmermans,Disgust,Disgust,0
Frans Timmermans,Fear,Disgust,0
Frans Timmermans,Happy,Disgust,0
Frans Timmermans,Neutral,Disgust,0
Frans Timmermans,NeutralNeutral,Disgust,0
Frans Timmermans,Sad,Disgust,0
Frans Timmermans,Surprise,Disgust,0
Frans Timmermans,Angry,Fear,0
Frans Timmermans,Disgust,Fear,0
Frans Timmermans,Fear,Fear,0
Frans Timmermans,Happy,Fear,0
Frans Timmermans,Neutral,Fear,0
Frans Timmermans,NeutralNeutral,Fear,0
Frans Timmermans,Sad,Fear,0
Frans Timmermans,Surprise,Fear,0
Frans Timmermans,Angry,Happy,0
Frans Timmermans,Disgust,Happy,0
Frans Timmermans,Fear,Happy,0
Frans Timmermans,Happy,Happy,0
Frans Timmermans,Neutral,Happy,0
Frans Timmermans,NeutralNeutral,Happy,0
Frans Timmermans,Sad,Happy,0
Frans Timmermans,Surprise,Happy,0
Frans Timmermans,Angry,Neutral,0
Frans Timmermans,Disgust,Neutral,0
Frans Timmermans,Fear,Neutral,0
Frans Timmermans,Happy,Neutral,0
Frans Timmermans,Neutral,Neutral,0
Frans Timmermans,NeutralNeutral,Neutral,0
Frans Timmermans,Sad,Neutral,0
Frans Timmermans,Surprise,Neutral,0
Frans Timmermans,Angry,NeutralNeutral,0
Frans Timmermans,Disgust,NeutralNeutral,0
Frans Timmermans,Fear,NeutralNeutral,0
Frans Timmermans,Happy,NeutralNeutral,0
Frans Timmermans,Neutral,NeutralNeutral,0
Frans Timmermans,NeutralNeutral,NeutralNeutral,0
Frans Timmermans,Sad,NeutralNeutral,0
Frans Timmermans,Surprise,NeutralNeutral,0
Frans Timmermans,Angry,Sad,0
Frans Timmermans,Disgust,Sad,0
Frans Timmermans,Fear,Sad,0
Frans Timmermans,Happy,Sad,0
Frans Timmermans,Neutral,Sad,0
Frans Timmermans,NeutralNeutral,Sad,0
Frans Timmermans,Sad,Sad,0
Frans Timmermans,Surprise,Sad,0
Frans Timmermans,Angry,Surprise,0
Frans Timmermans,Disgust,Surprise,0
Frans Timmermans,Fear,Surprise,0
Frans Timmermans,Happy,Surprise,0
Frans Timmermans,Neutral,Surprise,0
Frans Timmermans,NeutralNeutral,Surprise,0
Frans Timmermans,Sad,Surprise,0
Frans Timmermans,Surprise,Surprise,0
Geert Wilders,Angry,Angry,0
Geert Wilders,Disgust,Angry,0
Geert Wilders,Fear,Angry,0
Geert Wilders,Happy,Angry,0
Geert Wilders,Neutral,Angry,0
Geert Wilders,NeutralNeutral,Angry,0
Geert Wilders,Sad,Angry,0
Geert Wilders,Surprise,Angry,0
Geert Wilders,Angry,Disgust,0
Geert Wilders,Disgust,Disgust,0
Geert Wilders,Fear,Disgust,0
Geert Wilders,Happy,Disgust,0
Geert Wilders,Neutral,Disgust,0
Geert Wilders,NeutralNeutral,Disgust,0
Geert Wilders,Sad,Disgust,0
Geert Wilders,Surprise,Disgust,0
Geert Wilders,Angry,Fear,0
Geert Wilders,Disgust,Fear,0
Geert Wilders,Fear,Fear,0
Geert Wilders,Happy,Fear,0
Geert Wilders,Neutral,Fear,0
Geert Wilders,NeutralNeutral,Fear,0
Geert Wilders,Sad,Fear,0
Geert Wilders,Surprise,Fear,0
Geert Wilders,Angry,Happy,0
Geert Wilders,Disgust,Happy,0
Geert Wilders,Fear,Happy,0
Geert Wilders,Happy,Happy,0
Geert Wilders,Neutral,Happy,0
Geert Wilders,NeutralNeutral,Happy,0
Geert Wilders,Sad,Happy,0
Geert Wilders,Surprise,Happy,0
Geert Wilders,Angry,Neutral,0
Geert Wilders,Disgust,Neutral,0
Geert Wilders,Fear,Neutral,0
Geert Wilders,Happy,Neutral,0
Geert Wilders,Neutral,Neutral,0
Geert Wilders,NeutralNeutral,Neutral,0
Geert Wilders,Sad,Neutral,0
Geert Wilders,Surprise,Neutral,0
Geert Wilders,Angry,NeutralNeutral,0
Geert Wilders,Disgust,NeutralNeutral,0
Geert Wilders,Fear,NeutralNeutral,0
Geert Wilders,Happy,NeutralNeutral,0
Geert Wilders,Neutral,NeutralNeutral,0
Geert Wilders,NeutralNeutral,NeutralNeutral,0
Geert Wilders,Sad,NeutralNeutral,0
Geert Wilders,Surprise,NeutralNeutral,0
Geert Wilders,Angry,Sad,0
Geert Wilders,Disgust,Sad,0
Geert Wilders,Fear,Sad,0
Geert Wilders,Happy,Sad,0
Geert Wilders,Neutral,Sad,0
Geert Wilders,NeutralNeutral,Sad,0
Geert Wilders,Sad,Sad,0
Geert Wilders,Surprise,Sad,0
Geert Wilders,Angry,Surprise,0
Geert Wilders,Disgust,Surprise,0
Geert Wilders,Fear,Surprise,0
Geert Wilders,Happy,Surprise,0
Geert Wilders,Neutral,Surprise,0
Geert Wilders,NeutralNeutral,Surprise,0
Geert Wilders,Sad,Surprise,0
Geert Wilders,Surprise,Surprise,0
Henri Bontebal,Angry,Angry,0
Henri Bontebal,Disgust,Angry,0
Henri Bontebal,Fear,Angry,0
Henri Bontebal,Happy,Angry,0
Henri Bontebal,Neutral,Angry,0
Henri Bontebal,NeutralNeutral,Angry,0
Henri Bontebal,Sad,Angry,0
Henri Bontebal,Surprise,Angry,0
Henri Bontebal,Angry,Disgust,0
Henri Bontebal,Disgust,Disgust,0
Henri Bontebal,Fear,Disgust,0
Henri Bontebal,Happy,Disgust,0
Henri Bontebal,Neutral,Disgust,0
Henri Bontebal,NeutralNeutral,Disgust,0
Henri Bontebal,Sad,Disgust,0
Henri Bontebal,Surprise,Disgust,0
Henri Bontebal,Angry,Fear,0
Henri Bontebal,Disgust,Fear,0
Henri Bontebal,Fear,Fear,0
Henri Bontebal,Happy,Fear,0
Henri Bontebal,Neutral,Fear,0
Henri Bontebal,NeutralNeutral,Fear,0
Henri Bontebal,Sad,Fear,0
Henri Bontebal,Surprise,Fear,0
Henri Bontebal,Angry,Happy,0
Henri Bontebal,Disgust,Happy,0
Henri Bontebal,Fear,Happy,0
Henri Bontebal,Happy,Happy,0
Henri Bontebal,Neutral,Happy,0
Henri Bontebal,NeutralNeutral,Happy,0
Henri Bontebal,Sad,Happy,0
Henri Bontebal,Surprise,Happy,0
Henri Bontebal,Angry,Neutral,0
Henri Bontebal,Disgust,Neutral,0
Henri Bontebal,Fear,Neutral,0
Henri Bontebal,Happy,Neutral,0
Henri Bontebal,Neutral,Neutral,0
Henri Bontebal,NeutralNeutral,Neutral,0
Henri Bontebal,Sad,Neutral,0
Henri Bontebal,Surprise,Neutral,0
Henri Bontebal,Angry,NeutralNeutral,0
Henri Bontebal,Disgust,NeutralNeutral,0
Henri Bontebal,Fear,NeutralNeutral,0
Henri Bontebal,Happy,NeutralNeutral,0
Henri Bontebal,Neutral,NeutralNeutral,0
Henri Bontebal,NeutralNeutral,NeutralNeutral,0
Henri Bontebal,Sad,NeutralNeutral,0
Henri Bontebal,Surprise,NeutralNeutral,0
Henri Bontebal,Angry,Sad,0
Henri Bontebal,Disgust,Sad,0
Henri Bontebal,Fear,Sad,0
Henri Bontebal,Happy,Sad,0
Henri Bontebal,Neutral,Sad,0
Henri Bontebal,NeutralNeutral,Sad,0
Henri Bontebal,Sad,Sad,0
Henri Bontebal,Surprise,Sad,0
Henri Bontebal,Angry,Surprise,0
Henri Bontebal,Disgust,Surprise,0
Henri Bontebal,Fear,Surprise,0
Henri Bontebal,Happy,Surprise,0
Henri Bontebal,Neutral,Surprise,0
Henri Bontebal,NeutralNeutral,Surprise,0
Henri Bontebal,Sad,Surprise,0
Henri Bontebal,Surprise,Surprise,0
Joost Eerdmans,Angry,Angry,0
Joost Eerdmans,Disgust,Angry,0
Joost Eerdmans,Fear,Angry,0
Joost Eerdmans,Happy,Angry,0
Joost Eerdmans,Neutral,Angry,0
Joost Eerdmans,NeutralNeutral,Angry,0
Joost Eerdmans,Sad,Angry,0
Joost Eerdmans,Surprise,Angry,0
Joost Eerdmans,Angry,Disgust,0
Joost Eerdmans,Disgust,Disgust,0
Joost Eerdmans,Fear,Disgust,0
Joost Eerdmans,Happy,Disgust,0
Joost Eerdmans,Neutral,Disgust,0
Joost Eerdmans,NeutralNeutral,Disgust,0
Joost Eerdmans,Sad,Disgust,0
Joost Eerdmans,Surprise,Disgust,0
Joost Eerdmans,Angry,Fear,0
Joost Eerdmans,Disgust,Fear,0
Joost Eerdmans,Fear,Fear,0
Joost Eerdmans,Happy,Fear,0
Joost Eerdmans,Neutral,Fear,0
Joost Eerdmans,NeutralNeutral,Fear,0
Joost Eerdmans,Sad,Fear,0
Joost Eerdmans,Surprise,Fear,0
Joost Eerdmans,Angry,Happy,0
Joost Eerdmans,Disgust,Happy,0
Joost Eerdmans,Fear,Happy,0
Joost Eerdmans,Happy,Happy,0
Joost Eerdmans,Neutral,Happy,0
Joost Eerdmans,NeutralNeutral,Happy,0
Joost Eerdmans,Sad,Happy,0
Joost Eerdmans,Surprise,Happy,0
Joost Eerdmans,Angry,Neutral,0
Joost Eerdmans,Disgust,Neutral,0
Joost Eerdmans,Fear,Neutral,0
Joost Eerdmans,Happy,Neutral,0
Joost Eerdmans,Neutral,Neutral,0
Joost Eerdmans,NeutralNeutral,Neutral,0
Joost Eerdmans,Sad,Neutral,0
Joost Eerdmans,Surprise,Neutral,0
Joost Eerdmans,Angry,NeutralNeutral,0
Joost Eerdmans,Disgust,NeutralNeutral,0
Joost Eerdmans,Fear,NeutralNeutral,0
Joost Eerdmans,Happy,NeutralNeutral,0
Joost Eerdmans,Neutral,NeutralNeutral,0
Joost Eerdmans,NeutralNeutral,NeutralNeutral,0
Joost Eerdmans,Sad,NeutralNeutral,0
Joost Eerdmans,Surprise,NeutralNeutral,0
Joost Eerdmans,Angry,Sad,0
Joost Eerdmans,Disgust,Sad,0
Joost Eerdmans,Fear,Sad,0
Joost Eerdmans,Happy,Sad,0
Joost Eerdmans,Neutral,Sad,0
Joost Eerdmans,NeutralNeutral,Sad,0
Joost Eerdmans,Sad,Sad,0
Joost Eerdmans,Surprise,Sad,0
Joost Eerdmans,Angry,Surprise,0
Joost Eerdmans,Disgust,Surprise,0
Joost Eerdmans,Fear,Surprise,0
Joost Eerdmans,Happy,Surprise,0
Joost Eerdmans,Neutral,Surprise,0
Joost Eerdmans,NeutralNeutral,Surprise,0
Joost Eerdmans,Sad,Surprise,0
Joost Eerdmans,Surprise,Surprise,0
Kees van der Staaij,Angry,Angry,0
Kees van der Staaij,Disgust,Angry,0
Kees van der Staaij,Fear,Angry,0
Kees van der Staaij,Happy,Angry,0
Kees van der Staaij,Neutral,Angry,0
Kees van der Staaij,NeutralNeutral,Angry,0
Kees van der Staaij,Sad,Angry,0
Kees van der Staaij,Surprise,Angry,0
Kees van der Staaij,Angry,Disgust,0
Kees van der Staaij,Disgust,Disgust,0
Kees van der Staaij,Fear,Disgust,0
Kees van der Staaij,Happy,Disgust,0
Kees van der Staaij,Neutral,Disgust,0
Kees van der Staaij,NeutralNeutral,Disgust,0
Kees van der Staaij,Sad,Disgust,0
Kees van der Staaij,Surprise,Disgust,0
Kees van der Staaij,Angry,Fear,0
Kees van der Staaij,Disgust,Fear,0
Kees van der Staaij,Fear,Fear,0
Kees van der Staaij,Happy,Fear,0
Kees van der Staaij,Neutral,Fear,0
Kees van der Staaij,NeutralNeutral,Fear,0
Kees van der Staaij,Sad,Fear,0
Kees van der Staaij,Surprise,Fear,0
Kees van der Staaij,Angry,Happy,0
Kees van der Staaij,Disgust,Happy,0
Kees van der Staaij,Fear,Happy,0
Kees van der Staaij,Happy,Happy,0
Kees van der Staaij,Neutral,Happy,0
Kees van der Staaij,NeutralNeutral,Happy,0
Kees van der Staaij,Sad,Happy,0
Kees van der Staaij,Surprise,Happy,0
Kees van der Staaij,Angry,Neutral,0
Kees van der Staaij,Disgust,Neutral,0
Kees van der Staaij,Fear,Neutral,0
Kees van der Staaij,Happy,Neutral,0
Kees van der Staaij,Neutral,Neutral,0
Kees van der Staaij,NeutralNeutral,Neutral,0
Kees van der Staaij,Sad,Neutral,0
Kees van der Staaij,Surprise,Neutral,0
Kees van der Staaij,Angry,NeutralNeutral,0
Kees van der Staaij,Disgust,NeutralNeutral,0
Kees van der Staaij,Fear,NeutralNeutral,0
Kees van der Staaij,Happy,NeutralNeutral,0
Kees van der Staaij,Neutral,NeutralNeutral,0
Kees van der Staaij,NeutralNeutral,NeutralNeutral,0
Kees van der Staaij,Sad,NeutralNeutral,0
Kees van der Staaij,Surprise,NeutralNeutral,0
Kees van der Staaij,Angry,Sad,0
Kees van der Staaij,Disgust,Sad,0
Kees van der Staaij,Fear,Sad,0
Kees van der Staaij,Happy,Sad,0
Kees van der Staaij,Neutral,Sad,0
Kees van der Staaij,NeutralNeutral,Sad,0
Kees van der Staaij,Sad,Sad,0
Kees van der Staaij,Surprise,Sad,0
Kees van der Staaij,Angry,Surprise,0
Kees van der Staaij,Disgust,Surprise,0
Kees van der Staaij,Fear,Surprise,0
Kees van der Staaij,Happy,Surprise,0
Kees van der Staaij,Neutral,Surprise,0
Kees van der Staaij,NeutralNeutral,Surprise,0
Kees van der Staaij,Sad,Surprise,0
Kees van der Staaij,Surprise,Surprise,0
Laurens Dassen,Angry,Angry,0
Laurens Dassen,Disgust,Angry,0
Laurens Dassen,Fear,Angry,0
Laurens Dassen,Happy,Angry,0
Laurens Dassen,Neutral,Angry,0
Laurens Dassen,NeutralNeutral,Angry,0
Laurens Dassen,Sad,Angry,0
Laurens Dassen,Surprise,Angry,0
Laurens Dassen,Angry,Disgust,0
Laurens Dassen,Disgust,Disgust,0
Laurens Dassen,Fear,Disgust,0
Laurens Dassen,Happy,Disgust,0
Laurens Dassen,Neutral,Disgust,0
Laurens Dassen,NeutralNeutral,Disgust,0
Laurens Dassen,Sad,Disgust,0
Laurens Dassen,Surprise,Disgust,0
Laurens Dassen,Angry,Fear,0
Laurens Dassen,Disgust,Fear,0
Laurens Dassen,Fear,Fear,0
Laurens Dassen,Happy,Fear,0
Laurens Dassen,Neutral,Fear,0
Laurens Dassen,NeutralNeutral,Fear,0
Laurens Dassen,Sad,Fear,0
Laurens Dassen,Surprise,Fear,0
Laurens Dassen,Angry,Happy,0
Laurens Dassen,Disgust,Happy,0
Laurens Dassen,Fear,Happy,0
Laurens Dassen,Happy,Happy,0
Laurens Dassen,Neutral,Happy,0
Laurens Dassen,NeutralNeutral,Happy,0
Laurens Dassen,Sad,Happy,0
Laurens Dassen,Surprise,Happy,0
Laurens Dassen,Angry,Neutral,0
Laurens Dassen,Disgust,Neutral,0
Laurens Dassen,Fear,Neutral,0
Laurens Dassen,Happy,Neutral,0
Laurens Dassen,Neutral,Neutral,0
Laurens Dassen,NeutralNeutral,Neutral,0
Laurens Dassen,Sad,Neutral,0
Laurens Dassen,Surprise,Neutral,0
Laurens Dassen,Angry,NeutralNeutral,0
Laurens Dassen,Disgust,NeutralNeutral,0
Laurens Dassen,Fear,NeutralNeutral,0
Laurens Dassen,Happy,NeutralNeutral,0
Laurens Dassen,Neutral,NeutralNeutral,0
Laurens Dassen,NeutralNeutral,NeutralNeutral,0
Laurens Dassen,Sad,NeutralNeutral,0
Laurens Dassen,Surprise,NeutralNeutral,0
Laurens Dassen,Angry,Sad,0
Laurens Dassen,Disgust,Sad,0
Laurens Dassen,Fear,Sad,0
Laurens Dassen,Happy,Sad,0
Laurens Dassen,Neutral,Sad,0
Laurens Dassen,NeutralNeutral,Sad,0
Laurens Dassen,Sad,Sad,0
Laurens Dassen,Surprise,Sad,0
Laurens Dassen,Angry,Surprise,0
Laurens Dassen,Disgust,Surprise,0
Laurens Dassen,Fear,Surprise,0
Laurens Dassen,Happy,Surprise,0
Laurens Dassen,Neutral,Surprise,0
Laurens Dassen,NeutralNeutral,Surprise,0
Laurens Dassen,Sad,Surprise,0
Laurens Dassen,Surprise,Surprise,0
Lilian Marijnissen,Angry,Angry,0
Lilian Marijnissen,Disgust,Angry,0
Lilian Marijnissen,Fear,Angry,0
Lilian Marijnissen,Happy,Angry,0
Lilian Marijnissen,Neutral,Angry,0
Lilian Marijnissen,NeutralNeutral,Angry,0
Lilian Marijnissen,Sad,Angry,0
Lilian Marijnissen,Surprise,Angry,0
Lilian Marijnissen,Angry,Disgust,0
Lilian Marijnissen,Disgust,Disgust,0
Lilian Marijnissen,Fear,Disgust,0
Lilian Marijnissen,Happy,Disgust,0
